show_id,actor_id
s1,34182
s2,1602
s2,18096
s2,11085
s2,33048
s2,8641
s2,24297
s2,3070
s2,35374
s2,11433
s2,6666
s2,29075
s2,11881
s2,30278
s2,25232
s2,22495
s2,29628
s2,9004
s2,30512
s2,25989
s3,29504
s3,33865
s3,29569
s3,23972
s3,31338
s3,29331
s3,25137
s3,11250
s3,3713
s4,34182
s5,22367
s5,15373
s5,27496
s5,882
s5,693
s5,27905
s5,34208
s5,3141
s6,17398
s6,35996
s6,12195
s6,12676
s6,18632
s6,29483
s6,13215
s6,27259
s6,2584
s6,2579
s6,1114
s6,27247
s6,22042
s6,22961
s6,7135
s6,20164
s7,34332
s7,18353
s7,14116
s7,31332
s7,19982
s7,17776
s7,9505
s7,14272
s7,22871
s7,26571
s8,18484
s8,25579
s8,1240
s8,24672
s8,23897
s8,557
s8,27776
s8,23932
s9,22500
s9,32034
s9,21818
s9,26109
s10,22560
s10,6354
s10,17986
s10,33366
s10,7804
s10,31276
s10,19094
s10,28767
s10,18339
s10,20094
s10,27598
s11,34182
s12,32084
s12,32324
s12,26270
s12,29250
s12,32340
s12,4190
s12,8072
s12,34969
s12,18444
s12,200
s12,25083
s12,18445
s12,3013
s12,14601
s12,25726
s12,25727
s12,18735
s12,26645
s12,13583
s12,17641
s12,25716
s12,32223
s12,32010
s12,34752
s12,26757
s13,20465
s13,14343
s13,23244
s13,9208
s13,2514
s13,21666
s13,34502
s13,10697
s13,3621
s13,23940
s13,9514
s14,18459
s14,20252
s14,16924
s14,21241
s14,18397
s14,10582
s14,11021
s14,5136
s14,19504
s14,13896
s15,34182
s16,20018
s16,4638
s16,8099
s16,2746
s16,15798
s16,3221
s16,21674
s16,11461
s17,34182
s18,20353
s18,5225
s18,30357
s18,29451
s18,9255
s18,31504
s18,1009
s18,3614
s18,34196
s18,12035
s18,11046
s18,21257
s19,10925
s19,20026
s19,28394
s19,22429
s19,29846
s19,12501
s19,21621
s19,4627
s19,2804
s19,6820
s20,4436
s20,13638
s20,36332
s20,528
s20,10775
s20,31698
s20,16581
s20,1414
s21,34182
s22,9854
s22,30329
s22,13102
s22,16953
s22,10117
s22,25534
s22,30328
s22,5706
s22,27894
s22,12239
s23,17057
s23,22406
s23,11261
s23,12579
s23,24201
s23,29141
s24,20848
s24,26120
s24,17901
s24,18
s25,26894
s25,750
s25,31642
s25,24201
s26,4923
s27,3159
s27,17025
s27,26844
s27,24201
s27,29141
s27,11581
s28,344
s28,17978
s28,6367
s28,8018
s28,28325
s28,29349
s28,21312
s28,22328
s28,6894
s28,33327
s28,16409
s29,17889
s29,16263
s29,13692
s29,7282
s29,16965
s29,18867
s29,27983
s29,23916
s29,2646
s29,13973
s30,19655
s30,11176
s30,1691
s30,12382
s30,20250
s30,9646
s30,16619
s30,16267
s30,28021
s30,2307
s31,209
s31,28232
s31,8253
s31,18725
s31,36252
s31,24837
s31,25680
s32,19131
s32,28756
s32,28881
s32,15235
s32,13240
s32,15918
s32,22114
s32,4476
s32,23181
s32,17513
s32,6387
s33,3171
s33,11510
s33,24436
s33,9782
s33,6941
s33,17626
s33,1474
s34,19319
s34,25781
s34,35079
s34,25247
s34,16776
