show_id,country_id
s1,116
s2,100
s3,117
s4,117
s5,46
s6,117
s7,117
s8,116
s8,40
s8,18
s8,115
s8,39
s8,35
s9,115
s10,116
s11,117
s12,117
s13,39
s13,29
s14,117
s15,117
s16,116
s17,117
s18,68
s19,117
s20,117
s21,117
s22,111
s23,117
s24,117
s25,46
s26,7
s27,117
s28,116
s29,116
s30,116
s30,46
s30,37
s31,117
s32,117
s33,115
s34,117
s35,117
s36,117
s37,117
s38,36
s39,24
s39,21
s39,116
s40,46
s41,116
s42,116
s43,116
s44,116
s45,116
s46,117
s47,100
s47,116
s47,54
s48,117
s49,116
s50,78
s51,46
s52,54
s53,54
s54,54
s55,54
s56,116
s57,54
s58,54
s59,54
s60,54
s61,54
s62,54
s63,54
s64,54
s65,117
s66,115
s67,46
s68,116
s69,117
s70,46
s71,117
s72,117
s73,115
s74,78
s75,117
s76,117
s77,54
s78,117
s79,117
s80,117
s81,117
s82,116
s83,116
s84,117
s85,78
s86,117
s87,117
s88,117
s89,117
s90,117
s91,103
s91,116
s92,37
s93,13
s94,117
s95,115
s95,116
s96,116
s96,115
s97,116
s98,116
s99,115
s100,37
s100,116
s101,117
s102,116
s103,117
s104,117
s105,101
s106,46
s107,116
s108,116
s109,7
s110,103
s111,117
s112,116
s112,96
s113,117
s114,117
s115,46
s116,115
s116,7
s116,37
s117,46
s118,115
s118,116
s119,46
s120,117
s121,7
s122,117
s123,115
s123,7
s123,37
s123,116
s124,117
s125,101
s126,116
s127,46
s128,116
s128,21
s129,117
s130,39
s130,116
s131,117
s132,116
s133,117
s134,100
s134,116
s135,116
s135,68
s136,116
s136,52
s136,37
s136,54
s137,116
s137,52
s137,90
s137,115
s138,7
s138,116
s139,116
s140,116
s141,5
s141,120
s142,116
s142,115
s142,21
s143,39
s143,116
s144,116
s145,116
s146,116
s147,116
s148,117
s149,117
s150,116
s151,116
s152,24
s152,43
s153,116
s154,91
s155,54
s156,115
s156,116
s157,116
s158,21
s159,116
s160,43
s161,116
s162,116
s163,116
s163,24
s163,43
s164,116
s165,116
s166,117
s167,52
s167,116
s168,116
s168,21
s169,116
s170,116
s171,116
s172,116
s173,116
s173,39
s174,116
s175,116
s176,116
s177,116
s178,115
s178,116
s179,116
s180,116
s181,117
s182,117
s183,116
s184,116
s185,116
s186,117
s187,117
s188,117
s189,37
s190,117
s191,46
s192,115
s192,21
s192,116
s193,46
s194,101
s195,117
s196,46
s197,117
s198,117
s199,78
s200,46
s201,46
s202,46
s203,46
s204,46
s205,46
s206,46
s207,46
s208,46
s209,46
s210,46
s211,46
s212,46
s213,50
s214,117
s215,117
s216,46
s217,46
s218,46
s219,117
s220,54
s221,116
s222,117
s223,117
s224,117
s225,117
s226,117
s227,117
s228,116
s229,116
s229,115
s230,116
s231,117
s232,116
s233,116
s234,115
s235,117
s236,117
s237,117
s238,117
s239,117
s240,117
s241,117
s242,116
s243,117
s244,117
s245,117
s246,117
s247,117
s248,116
s249,117
s250,117
s251,117
s252,116
s253,117
s254,46
s255,116
s256,117
s257,117
s258,117
s259,117
s260,46
s260,74
s261,117
s262,117
s263,117
s264,116
s265,116
s266,54
s267,46
s268,76
s268,7
s268,37
s268,116
s269,117
s270,52
s271,52
s271,16
s271,41
s272,116
s273,116
s274,37
s275,116
s276,5
s277,103
s278,55
s279,25
s280,116
s280,54
s281,116
s282,78
s283,68
s284,13
s284,115
s285,115
s285,116
s286,107
s286,115
s286,7
s287,116
s288,117
s289,25
s290,101
s291,116
s292,54
s293,115
s294,100
s295,117
s296,116
s297,51
s297,116
s298,46
s299,78
s300,37
s301,21
s301,116
s302,46
s303,16
s304,5
s305,115
s306,5
s306,103
s307,78
s308,116
s309,116
s310,117
s311,116
s312,68
s313,116
s314,109
s315,116
s316,116
s316,78
s317,109
s318,116
s319,117
s320,109
s321,117
s322,109
s323,109
s324,116
s325,52
s326,116
s327,116
s328,116
s328,115
s329,17
s329,116
s330,116
s330,21
s331,116
s331,21
s332,117
s333,116
s333,68
s334,116
s335,116
s336,116
s337,117
s338,116
s338,21
s339,54
s340,117
s341,116
s341,115
s342,116
s343,116
s344,116
s345,116
s346,116
s346,21
s347,116
s348,103
s348,115
s348,116
s349,115
s349,116
s350,116
s351,116
s352,116
s352,39
s353,116
s353,24
s354,116
s355,116
s356,116
s357,116
s357,37
s358,103
s358,37
s358,115
s358,116
s359,116
s360,116
s361,116
s362,116
s363,117
s364,117
s365,117
s366,37
s366,3
s367,115
s368,117
s369,117
s370,117
s371,116
s372,117
s373,117
s374,117
s375,78
s376,117
s377,117
s378,86
s379,116
s380,117
s381,116
s382,117
s383,116
s384,46
s385,117
s386,39
s387,116
s387,21
s388,117
s389,117
s390,37
s390,51
s390,39
s390,116
s390,115
s391,116
s392,21
s392,116
s393,116
s394,7
s395,117
s396,117
s397,117
s398,117
s399,117
s400,117
s401,117
s402,103
s403,115
s404,116
s405,117
s406,117
s407,117
s408,117
s409,117
s410,117
s411,46
s412,117
s413,117
s414,117
s415,117
s416,46
s417,117
s418,117
s419,117
s420,117
s421,117
s422,117
s423,117
s424,117
s425,117
s426,116
s427,76
s428,117
s429,117
s430,78
s431,117
s432,117
s433,117
s434,116
s435,5
s436,117
s437,93
s438,116
s439,117
s440,110
s441,116
s442,117
s443,116
s443,21
s444,117
s445,117
s446,116
s447,116
s448,116
s449,116
s450,116
s451,116
s452,116
s453,47
s454,54
s455,117
s456,117
s457,101
s458,34
s458,30
s458,39
s459,117
s460,116
s461,116
s461,21
s462,117
s463,116
s464,52
s465,117
s466,117
s467,117
s468,117
s469,117
s470,116
s470,21
s471,117
s472,117
s473,116
s474,116
s475,116
s475,107
s476,117
s477,117
s478,116
s479,39
s480,117
s481,117
s482,117
s483,117
s484,117
s485,117
s486,117
s487,43
s487,21
s487,116
s488,117
s489,116
s490,58
s490,116
s491,117
s492,116
s493,116
s494,116
s494,54
s495,116
s496,117
s497,37
s497,21
s497,116
s497,103
s498,117
s499,117
s500,116
s501,117
s502,117
s503,78
s504,86
s505,117
s506,117
s507,7
s508,117
s509,37
s509,75
s509,96
s510,116
s511,21
s512,116
s513,37
s513,13
s514,116
s515,115
s516,115
s517,110
s518,54
s519,46
s520,115
s521,116
s522,21
s523,91
s524,115
s525,54
s526,116
s526,21
s527,116
s528,50
s528,116
s528,115
s529,46
s530,34
s531,116
s532,65
s533,116
s534,51
s535,47
s536,21
s537,7
s538,54
s539,115
s540,7
s540,76
s541,115
s541,39
s542,46
s543,46
s544,13
s544,75
s545,21
s546,101
s547,117
s548,116
s549,116
s550,117
s551,117
s552,46
s553,117
s554,37
s555,78
s556,101
s556,29
s557,101
s558,7
s558,116
s559,116
s560,116
s560,39
s561,117
s562,116
s563,116
s564,116
s565,116
s566,7
s566,39
s567,116
s567,39
s568,116
s569,116
s570,121
s571,117
s572,117
s573,115
s573,13
s574,116
s574,24
s575,116
s575,24
s576,116
s577,115
s577,7
s577,116
s578,117
s579,37
s579,54
s579,116
s580,116
s581,117
s582,116
s583,116
s584,116
s584,115
s585,116
s586,115
s586,116
s587,117
s588,117
s589,116
s590,115
s591,117
s592,116
s593,116
s594,116
s595,116
s595,39
s596,39
s596,116
s597,116
s598,116
s599,116
s599,115
s600,116
s601,116
s602,116
s603,116
s604,116
s605,115
s605,39
s605,103
s605,116
s606,116
s607,115
s607,116
s607,37
s607,52
s608,116
s609,116
s609,39
s609,21
s610,116
s610,37
s610,52
s610,115
s611,116
s611,115
s611,39
s611,44
s612,116
s612,21
s613,116
s613,76
s614,78
s615,116
s615,76
s616,116
s617,117
s618,106
s619,116
s620,117
s621,116
s622,117
s623,116
s624,117
s625,117
s626,68
s627,117
s628,24
s629,116
s630,117
s631,116
s632,54
s633,117
s634,117
s635,37
s636,60
s637,116
s637,21
s638,117
s639,116
s640,117
s641,117
s642,117
s643,54
s644,116
s645,117
s646,117
s647,117
s648,117
s649,116
s650,117
s651,16
s652,78
s653,117
s654,117
s655,90
s656,90
s657,90
s658,116
s659,117
s660,110
s661,116
s662,37
s663,116
s664,117
s665,103
s666,36
s666,39
s667,117
s668,116
s669,116
s670,103
s671,117
s672,117
s673,117
s674,5
s675,116
s676,54
s677,116
s678,21
s678,116
s679,116
s680,110
s681,116
s682,115
s683,7
s684,117
s685,103
s686,116
s687,101
s688,117
s689,78
s690,117
s691,117
s692,117
s693,117
s694,117
s695,60
s695,108
s696,117
s697,21
s697,116
s698,117
s699,85
s700,45
s701,117
s702,21
s703,116
s704,111
s705,117
s706,39
s707,117
s708,117
s709,116
s710,5
s711,117
s712,52
s713,117
s714,116
s715,117
s716,117
s717,116
s718,117
s719,116
s720,116
s721,117
s722,116
s723,116
s724,116
s725,116
s725,115
s726,117
s727,116
s728,116
s729,116
s730,117
s731,117
s732,101
s733,117
s734,30
s735,37
s735,116
s736,46
s737,116
s737,46
s738,85
s738,96
s738,47
s739,117
s740,24
s740,116
s740,21
s741,116
s742,60
s742,114
s743,121
s744,21
s744,116
s744,30
s745,25
s746,114
