show_id,director_id
s1,2533
s2,4744
s3,2323
s4,4744
s5,4744
s6,3162
s7,3916
s7,2290
s8,1646
s9,335
s10,4582
s11,4744
s12,2544
s13,873
s14,695
s15,4744
s16,4744
s17,3578
s17,3471
s18,4744
s19,65
s20,4744
s21,3434
s22,4744
s23,2371
s24,190
s24,4364
s25,4038
s26,4744
s27,3751
s28,1167
s29,4180
s30,3922
s31,454
s31,35
s31,4065
s32,4744
s33,4744
s34,4744
s35,4744
s36,1025
s37,961
s38,4744
s39,1550
s40,4744
s41,4744
s42,4425
s43,1981
s44,2092
s45,2265
s46,4725
s47,1006
s48,706
s49,390
s50,4744
s51,4744
s52,4694
s53,4694
s54,4694
s55,4694
s56,4744
s57,2959
s58,1648
s59,2959
s60,1648
s61,2959
s62,1742
s63,4697
s64,4566
s65,1135
s66,4744
s67,4744
s68,4744
s69,1670
s69,4761
s69,3125
s70,4744
s71,4744
s72,1059
s73,4744
s74,2449
s75,4744
s76,552
s77,4744
s78,3673
s79,1159
s80,1159
s81,4671
s82,762
s83,4744
s84,4744
s85,1839
s85,1477
s86,4744
s87,4593
s88,4744
s89,2864
s90,4744
s91,222
s92,3215
s92,3522
s93,4744
s94,200
s95,3739
s96,4744
s97,4392
s98,4744
s99,4744
s100,4744
s101,4744
s102,782
s102,2773
s103,1923
s104,4922
s105,4744
s106,2680
s107,4744
s108,1138
s109,4744
s110,4744
s111,2741
s111,1947
s112,4744
s113,4135
s114,4390
s115,3724
s116,1909
s117,3263
s118,2753
s119,4242
s120,1840
s121,4744
s122,4744
s123,1909
s124,4744
s125,4744
s126,4744
s127,4786
s128,2922
s129,1569
s130,2608
s131,4177
s132,3877
s133,4744
s134,3314
s135,3645
s136,3822
s137,382
s138,4314
s139,2608
s140,4351
s141,4197
s142,4418
s143,3856
s144,2938
s145,3811
s146,1547
s146,1227
s147,1324
s148,4744
s149,1558
s150,3096
s151,3111
s152,312
s152,139
s153,656
s154,4744
s155,4744
s156,2072
s157,1520
s158,1036
s159,4716
s160,3493
s161,4744
s162,4610
s163,3811
s164,1137
s165,2522
s166,4744
s167,4213
s168,3003
s168,4640
s169,620
s169,3591
s170,4886
s171,3614
s172,3062
s173,3859
s174,273
s175,390
s176,3778
s177,3109
s178,1830
s179,1357
s179,4220
s180,4662
s181,3611
s182,4744
s183,2804
s184,4886
s185,4744
s186,782
s186,2773
s187,4744
s188,4744
s189,3773
s189,4987
s190,4744
s191,4245
s192,4556
s193,4055
s194,4744
s195,4744
s196,4158
s197,2927
s198,4744
s199,2449
s200,3509
s201,4133
s202,353
s202,403
s203,4117
s204,4738
s205,4055
s206,1076
s207,1193
s208,412
s209,3180
s210,3180
s211,3568
s212,587
s213,4744
s214,4744
s215,2786
s216,412
s217,3736
s217,2553
s218,3180
s219,4744
s220,4744
s221,4744
s222,2282
s223,627
s224,3012
s224,4552
s225,4744
s226,4744
s227,4744
s228,343
s229,3968
s230,880
s231,4021
s232,1116
s233,4744
s234,2911
s235,4744
s236,955
s237,3787
s238,3787
s239,3787
s240,3787
s241,1660
s242,4744
s243,4744
s244,4744
s245,2398
s246,4744
s247,4929
s248,659
s249,4744
s250,1055
s251,4770
s252,1230
s253,3144
s254,2820
s255,4744
s256,3083
s257,4699
s258,2820
s259,219
s260,3468
s261,4744
s262,695
s263,2611
s264,4744
s265,4401
s266,4744
s267,4744
s268,1909
s269,3226
s270,4744
s271,1403
s272,4744
s273,4744
s274,2299
s275,4744
s276,4744
s277,1799
s278,4744
s279,2335
s280,4427
s281,4744
s282,789
s283,2336
s284,4077
s285,4808
s286,2237
s287,4744
s288,4066
s289,4744
s290,4744
s291,1429
s292,4744
s293,1239
s294,87
s295,1732
s296,3700
s297,4744
s298,538
s298,3688
s298,2402
s298,4766
s298,2403
s298,442
s298,3787
s298,4148
s298,1528
s299,2424
s300,2348
s301,2530
s301,638
s302,3979
s303,758
s303,2730
s304,155
s305,2612
s306,2854
s307,1826
s308,3620
s309,4482
s310,4744
s311,598
s312,4744
s313,4744
s314,4744
s315,1883
s316,819
s317,1756
s318,2561
s319,1353
s319,3113
s320,4744
s321,4744
s322,4744
s323,4744
s324,4744
s325,4744
s326,666
s327,3954
s328,3939
s329,4641
s330,4425
s331,3629
s331,889
s332,4744
s333,3822
s334,2150
s335,2349
s336,2110
s337,4744
s338,2906
s339,4744
s340,2784
s340,1755
s341,891
s342,3557
s343,3338
s344,1752
s345,1752
s346,1081
s347,1088
s348,2247
s349,4963
s350,1514
s351,917
s352,4711
s353,2446
s354,4650
s355,4688
s356,629
s357,4505
s358,627
s359,1803
s360,4351
s361,1503
s362,4744
s363,2459
s364,1942
s365,4744
s366,3265
s367,4744
s368,4205
s369,4744
s370,4744
s371,4744
s372,3265
s373,2440
s374,1072
s375,3133
s376,4426
s377,4744
s378,1016
s379,2717
s380,4744
s381,1582
s382,4744
s383,4744
s384,3763
s385,1067
s386,4744
s387,4744
s388,2625
s389,4012
s389,3840
s390,4951
s391,4744
s392,4744
s393,3697
s394,910
s395,3246
s396,2862
s397,3617
s398,4744
s399,2516
s400,4744
s401,4744
s402,4744
s403,475
s404,4744
s405,4744
s406,4301
s407,3749
s408,3749
s409,3749
s410,3749
s411,3749
s412,3749
s413,3749
s414,3749
s415,3749
s416,3749
s417,3749
s418,602
s419,433
s419,4295
s420,3749
s421,3749
s422,3749
s422,3461
s423,3749
s424,3749
s425,3749
s426,4744
s427,110
s427,678
s428,2793
s429,2584
s430,4222
s431,4744
s432,4744
s433,2125
s433,310
s433,1444
s434,3221
s435,4744
s436,4744
s437,26
s438,1261
s439,2419
s440,4318
s440,2064
s440,411
s440,4576
s440,75
s441,4744
s442,2648
s443,4744
s444,2743
s445,1502
s446,4327
s447,928
s448,590
s449,590
s450,1129
s451,861
s452,755
s453,1644
s454,4744
s455,4675
s456,1467
s457,4744
s458,3026
s459,165
s460,4744
s461,444
s461,834
s462,131
s463,4648
s464,3941
s464,3496
s465,3301
s466,4744
s467,4744
s468,2836
s469,3834
s470,4206
s471,4744
s472,117
s472,41
s473,4744
s474,4820
s475,3366
s476,1024
s477,2347
s478,4744
s479,4744
s480,2648
s481,1400
s482,1228
s483,4744
s484,4744
s485,2514
s486,484
s487,2044
s487,2487
s488,4744
s489,4744
s490,102
s491,4744
s492,1654
s493,4178
s494,4744
s495,523
s496,4646
s497,725
s498,4744
s499,3513
s500,4744
s501,3416
s502,4222
s503,2791
s504,1905
s505,4744
s506,407
s506,3244
s507,877
s508,4731
s509,4924
s510,4744
s511,4744
s512,4744
s513,4744
s514,4744
s515,4744
s516,4744
s517,4744
s518,4744
s519,1677
s520,4744
s521,4744
s522,4744
s523,4744
s524,4744
s525,4744
s526,4744
s527,4744
s528,4744
s529,3755
s529,1685
s530,4942
s531,4744
s532,4162
s532,3358
s532,2770
s533,4744
s534,4744
s535,3782
s536,4744
s537,4744
s538,4744
s539,4744
s540,4744
s541,4744
s542,3674
s543,3281
s544,4744
s545,4744
s546,4744
s547,4744
s548,4744
s549,4744
s550,4744
s551,2648
s552,4815
s553,3317
s554,4744
s555,3772
s556,624
s557,2518
s558,3118
s558,3613
s559,1338
s560,4886
s561,2984
s562,1959
s563,1959
s564,1959
s565,3557
s566,4744
s567,3031
s568,1454
s569,3338
s570,4783
s571,825
s572,4744
s573,2117
s574,2179
s574,2916
s575,2026
s576,1603
s577,1504
s578,2806
s579,3894
s580,2937
s581,4291
s582,3560
s583,1503
s584,1820
s585,2116
s586,902
s587,2954
s588,4299
s588,44
s588,1191
s588,1785
s588,1924
s589,4744
s590,4705
s591,4744
s592,1490
s593,2070
s594,845
s595,1837
s596,3897
s597,2764
s598,61
s599,392
s600,3946
s601,1083
s602,2144
s603,2144
s604,2144
s605,140
s606,4845
s607,4388
s608,697
s609,3625
s610,1426
s611,2651
s612,3252
s612,608
s613,3528
s614,3928
s615,4811
s616,1620
s617,2953
s618,4744
s619,2990
s620,1867
s621,4744
s622,4268
s623,2976
s624,2255
s625,1864
s626,4744
s627,2138
s628,4744
s629,4744
s630,500
s631,303
s632,4744
s633,3324
s634,4328
s635,357
s636,507
s637,2228
s638,4354
s638,4765
s638,35
s639,4744
s640,4744
s641,4744
s642,4744
s643,4744
s644,2359
s645,2519
s646,4729
s647,2832
s648,4744
s649,4744
s650,407
s651,1966
s652,2521
s653,2521
s654,4744
s655,954
s656,954
s657,954
s658,4744
s659,4744
s660,4744
s661,4744
s662,4744
s663,4744
s664,4744
s665,1413
s666,4744
s667,1818
s668,4744
s669,4744
s670,4744
s671,4938
s671,4934
s672,4938
s672,4934
s673,4938
s674,4744
s675,4744
s676,4744
s677,3899
s678,4744
s679,4744
s680,4744
s681,4744
s682,4305
s683,4744
s684,3138
s685,4744
s686,3561
s687,4744
s688,2403
s689,2424
s690,4938
s690,4934
s691,2440
s692,4744
s693,1756
s694,2733
s695,4345
s696,4345
s697,4744
s698,4744
s699,391
s700,4744
s701,4744
s702,2883
s703,1114
s704,4744
s705,43
s706,3015
s707,4744
s708,4146
s709,3835
s710,4744
s711,4744
s712,3588
s713,3093
s714,4744
s715,4744
s716,4744
s717,1438
s718,4744
s719,1026
s720,4744
s721,4744
s722,3165
s723,1136
s724,3116
s725,2048
s726,4744
s727,2093
s727,692
s728,1774
s728,4250
s729,634
s730,4744
s731,4744
s732,4744
s733,4744
s734,4744
s735,4744
s736,3664
s737,2826
s738,1958
s739,4744
s740,827
s741,3122
s742,2600
s743,512
s743,3270
s744,2919
s745,4744
s746,4545
s747,2919
s748,2459
s749,4744
s750,4744
s751,4949
s752,4744
s753,2927
s754,4744
s755,2997
s756,4744
s757,3930
s758,2224
s759,236
s760,1545
s761,1545
s762,4744
s763,2639
s764,4744
s765,1962
s766,1000
s767,173
s768,4744
s769,1715
s770,154
s770,2305
s771,3249
s772,815
s773,4744
s774,3719
s775,2598
s776,3352
s777,2658
s778,1288
s778,3033
s779,4744
s780,3967
s781,4744
s782,3594
s783,2599
s784,2630
s785,4588
s786,4744
s787,1218
s788,326
s789,1683
s790,4744
s791,309
s792,3832
s793,3898
s794,339
s795,4515
s796,4744
s797,4179
s798,2061
s799,4583
s800,917
s801,477
s802,3085
s803,1886
s804,4527
s805,3137
s806,4744
s807,1734
s808,1734
s809,1218
s810,4636
s811,4845
s812,4396
s813,1213
s814,4744
s815,136
s816,3151
s817,4498
s818,2712
s819,518
s820,917
s821,4744
s822,3128
s823,1304
s824,3598
s825,1551
s826,4744
s827,613
s828,1270
s829,1085
s830,2479
s831,4744
s832,2288
s832,2847
s833,1516
s834,4744
s835,2331
s836,4744
s837,3570
s838,4744
s839,3473
s840,4345
s841,2667
s842,3793
s843,4744
s844,4744
s845,1030
s846,4405
s847,4612
s848,4744
s849,4744
s850,4744
s851,4825
s852,4744
s853,4744
s854,4958
s855,4744
s856,4744
s857,4732
s858,4744
s859,3197
s860,269
s861,881
s862,3673
s863,4744
s864,3933
s865,3180
s866,1062
s867,1343
s867,1780
s868,1887
s869,4744
s870,4744
s871,1889
s872,2373
s873,1835
s874,3361
s875,4744
s876,2783
s877,4744
s878,3681
s879,761
s880,1018
s881,4744
s882,1222
s883,649
s884,4744
s885,4744
s886,2650
s887,4750
s888,1022
s889,4744
s890,2113
s891,4744
s892,3008
s893,77
s894,83
s895,1117
s896,194
s897,4744
s898,718
s899,4109
s900,3771
s901,4744
s902,4493
s903,4744
s904,2943
s905,514
s906,4967
s907,4953
s908,4244
s909,4744
s910,1819
s911,381
s912,4795
s913,4744
s914,4363
s915,2016
s916,2315
s917,3357
s918,1214
s918,4264
s919,4744
s920,2285
s921,4744
s922,4744
s923,1238
s924,4744
s925,4189
s926,4744
s927,4835
s928,4744
s929,3932
s930,3965
s931,4636
s932,1143
s933,3540
s934,2608
s935,2355
s936,1317
s936,4659
s936,931
s937,4744
s938,4457
s939,4457
s940,4457
s941,4457
s942,4457
s943,917
s944,2000
s945,785
s946,4375
s947,3980
s948,2485
s949,362
s950,841
s951,3599
s952,3971
s953,2232
s954,942
s955,3655
s955,3272
