show_id,genre_id
s1,11
s2,18
s2,35
s2,37
s3,9
s3,18
s3,33
s4,12
s4,24
s5,18
s5,26
s5,34
s6,35
s6,36
s6,37
s7,5
s8,13
s8,16
s8,17
s9,4
s9,24
s10,8
s10,13
s11,9
s11,12
s11,18
s12,9
s12,18
s12,33
s13,13
s13,17
s14,5
s14,8
s15,4
s15,9
s15,12
s16,34
s16,35
s17,11
s17,17
s18,9
s18,29
s18,35
s19,42
s20,18
s20,29
s20,33
s21,9
s21,12
s21,18
s22,18
s22,33
s22,35
s23,8
s23,17
s24,5
s25,8
s25,17
s25,25
s26,12
s26,18
s26,24
s27,8
s27,17
s27,23
s28,8
s29,15
s29,27
s30,42
s31,13
s31,16
s31,17
s32,34
s33,4
s33,18
s33,34
s34,18
s34,35
s34,40
s35,19
s36,13
s36,17
s36,42
s37,1
s37,13
s37,17
s38,19
s38,34
s39,1
s39,13
s40,19
s41,19
s41,38
s42,1
s42,7
s42,13
s43,13
s43,15
s43,42
s44,1
s44,15
s44,42
s45,1
s45,15
s45,42
s46,11
s47,1
s48,18
s48,26
s48,34
s49,13
s49,42
s50,18
s50,35
s51,18
s51,35
s51,38
s52,1
s52,2
s52,17
s53,1
s53,2
s53,17
s54,1
s54,2
s54,17
s55,1
s55,2
s55,17
s56,24
s57,1
s57,2
s57,17
s58,1
s58,2
s58,17
s59,1
s59,2
s59,17
s60,1
s60,2
s60,17
s61,1
s61,2
s61,17
s62,1
s62,2
s62,17
s63,1
s63,2
s63,17
s64,1
s64,2
s64,17
s65,5
s66,19
s67,12
s67,18
s68,19
s68,34
s69,11
s69,17
s69,30
s70,18
s70,35
s71,18
s71,24
s71,26
s72,5
s73,4
s73,12
s73,18
s74,13
s74,17
s75,24
s76,5
s77,3
s77,18
s78,5
s78,8
s79,8
s79,13
s79,17
s80,8
s80,13
s80,17
s81,5
s82,1
s83,9
s83,34
s83,35
s84,24
s85,1
s85,8
s85,13
s86,3
s86,19
s87,17
s87,42
s88,19
s88,20
s89,11
s89,30
s90,19
s91,27
s91,42
s92,11
s92,17
s93,18
s93,35
s93,37
s94,13
s94,17
s94,25
s95,5
s95,8
s96,24
s97,11
s97,23
s98,19
s98,34
s98,38
s99,4
s99,19
s100,34
s100,35
s101,19
s102,11
s102,30
s103,12
s103,28
s104,13
s104,17
s104,42
s105,19
s105,20
s106,1
s106,8
s106,13
s107,19
s107,34
s108,5
s108,13
s109,19
s109,35
s109,41
s110,9
s110,18
s110,29
s111,12
s111,18
s111,29
s112,19
s113,13
s114,8
s114,25
s115,13
s115,17
s115,42
s116,13
s116,25
s117,8
s117,13
s117,16
s118,11
s119,13
s119,17
s119,42
s120,13
s120,17
s120,25
s121,19
s121,34
s122,18
s122,26
s122,34
s123,42
s124,19
s125,19
s125,20
s126,9
s126,33
s126,34
s127,13
s127,17
s127,25
s128,5
s128,8
s129,13
s129,17
s129,42
s130,13
s131,5
s131,23
s132,1
s132,7
s132,10
s133,18
s133,33
s133,34
s134,1
s134,27
s135,1
s135,13
s136,1
s137,13
s137,25
s138,1
s138,8
s139,13
s139,25
s140,7
s140,8
s140,13
s141,13
s141,17
s141,42
s142,1
s143,13
s144,1
s144,27
s145,8
s145,10
s146,8
s146,10
s146,23
s147,8
s147,23
s148,24
s149,39
s150,1
s150,8
s151,42
s152,1
s152,17
s153,8
s154,19
s155,3
s155,18
s155,41
s156,1
s156,5
s156,10
s157,8
s157,13
s157,25
s158,27
s158,42
s159,8
s159,25
s160,8
s160,13
s160,17
s161,34
s162,8
s162,10
s162,27
s163,13
s164,8
s164,25
s165,1
s165,8
s166,9
s166,18
s166,29
s167,7
s167,13
s168,5
s168,8
s169,1
s169,5
s169,8
s170,1
s170,13
s171,11
s171,23
s172,13
s172,14
s173,8
s173,23
s174,11
s174,21
s175,1
s175,13
s176,13
s176,25
s177,1
s177,8
s178,1
s178,7
s179,1
s179,8
s180,8
s180,25
s181,8
s181,25
s182,12
s183,8
s184,1
s184,7
s185,24
s186,11
s186,30
s187,18
s187,26
s187,34
s188,18
s188,34
s189,8
s189,17
s190,19
s190,34
s191,13
s191,17
s192,13
s192,16
s193,1
s193,8
s193,17
s194,18
s194,35
s195,18
s195,29
s195,35
s196,8
s196,13
s196,17
s197,8
s197,25
s198,19
s198,34
s199,9
s199,18
s199,35
s200,8
s200,13
s200,17
s201,1
s201,15
s201,17
s202,13
s202,17
s202,42
s203,8
s203,17
s203,23
s204,8
s204,17
s205,8
s205,17
s206,8
s206,17
s206,27
s207,13
s207,16
s207,17
s208,1
s208,17
s208,23
s209,13
s209,17
s209,23
s210,13
s210,17
s210,23
s211,15
s211,17
s212,15
s212,17
s213,18
s213,35
s214,12
s214,18
s215,1
s215,17
s216,1
s216,13
s216,17
s217,8
s217,13
s217,16
s218,8
s218,13
s218,17
s219,24
s219,41
s220,3
